# id, role_id, permission, created_at
'408', '1', 'reset_password', '2025-09-04 20:38:56'
'409', '1', 'delete_class', '2025-09-04 20:38:56'
'410', '1', 'view_term', '2025-09-04 20:38:56'
'411', '5', 'edit_student', '2025-09-04 20:38:56'
'412', '1', 'import_students', '2025-09-04 20:38:56'
'413', '2', 'manage_student_parents', '2025-09-04 20:38:56'
'414', '4', 'update_own_profile', '2025-09-04 20:38:56'
'415', '1', 'view_academic_year', '2025-09-04 20:38:56'
'416', '1', 'delete_student', '2025-09-04 20:38:56'
'417', '5', 'view_teacher', '2025-09-04 20:38:56'
'418', '3', 'view_class', '2025-09-04 20:38:56'
'419', '6', 'manage_student_parents', '2025-09-04 20:38:56'
'420', '2', 'create_student', '2025-09-04 20:38:56'
'421', '1', 'update_own_profile', '2025-09-04 20:38:56'
'422', '4', 'manage_student_parents', '2025-09-04 20:38:56'
'423', '1', 'manage_system_settings', '2025-09-04 20:38:56'
'424', '6', 'create_student', '2025-09-04 20:38:56'
'425', '3', 'delete_student', '2025-09-04 20:38:56'
'426', '5', 'import_students', '2025-09-04 20:38:56'
'427', '2', 'delete_department', '2025-09-04 20:38:56'
'428', '1', 'change_own_password', '2025-09-04 20:38:56'
'429', '4', 'create_student', '2025-09-04 20:38:56'
'430', '1', 'manage_student_parents', '2025-09-04 20:38:56'
'431', '1', 'unlock_user', '2025-09-04 20:38:56'
'432', '1', 'edit_teacher', '2025-09-04 20:38:56'
'433', '2', 'edit_student', '2025-09-04 20:38:56'
'434', '1', 'export_all_data', '2025-09-04 20:38:56'
'435', '5', 'view_student', '2025-09-04 20:38:56'
'436', '1', 'reactivate_user', '2025-09-04 20:38:56'
'437', '1', 'create_student', '2025-09-04 20:38:56'
'438', '6', 'edit_student', '2025-09-04 20:38:56'
'439', '3', 'manage_student_parents', '2025-09-04 20:38:56'
'440', '1', 'create_teacher', '2025-09-04 20:38:56'
'441', '4', 'edit_student', '2025-09-04 20:38:56'
'442', '6', 'view_teacher', '2025-09-04 20:38:56'
'443', '5', 'process_payments', '2025-09-04 20:38:56'
'444', '1', 'delete_department', '2025-09-04 20:38:56'
'445', '2', 'edit_department', '2025-09-04 20:38:56'
'446', '3', 'create_student', '2025-09-04 20:38:56'
'447', '5', 'edit_financial_data', '2025-09-04 20:38:56'
'448', '5', 'export_teachers', '2025-09-04 20:38:56'
'449', '2', 'import_students', '2025-09-04 20:38:56'
'450', '1', 'update_user', '2025-09-04 20:38:56'
'451', '1', 'deactivate_user', '2025-09-04 20:38:56'
'452', '1', 'edit_student', '2025-09-04 20:38:56'
'453', '6', 'manage_subject_grades', '2025-09-04 20:38:56'
'454', '1', 'restore_database', '2025-09-04 20:38:56'
'455', '2', 'create_department', '2025-09-04 20:38:56'
'456', '1', 'view_teacher', '2025-09-04 20:38:56'
'457', '4', 'import_students', '2025-09-04 20:38:56'
'458', '2', 'view_student', '2025-09-04 20:38:56'
'459', '1', 'delete_term', '2025-09-04 20:38:56'
'460', '1', 'export_academic_years', '2025-09-04 20:38:56'
'461', '3', 'edit_student', '2025-09-04 20:38:56'
'462', '4', 'delete_student', '2025-09-04 20:38:56'
'463', '1', 'edit_department', '2025-09-04 20:38:56'
'464', '6', 'view_student', '2025-09-04 20:38:56'
'465', '6', 'view_subject_data', '2025-09-04 20:38:56'
'466', '4', 'view_student', '2025-09-04 20:38:56'
'467', '1', 'create_academic_year', '2025-09-04 20:38:56'
'468', '5', 'view_class', '2025-09-04 20:38:56'
